# x 	 f(x) 
-0.290 	 0.004 
-0.280 	 0.004 
-0.270 	 0.004 
-0.260 	 0.003 
-0.250 	 0.003 
-0.240 	 0.003 
-0.230 	 0.003 
-0.220 	 0.002 
-0.210 	 0.002 
-0.200 	 0.002 
-0.190 	 0.002 
-0.180 	 0.002 
-0.170 	 0.001 
-0.160 	 0.001 
-0.150 	 0.001 
-0.140 	 0.001 
-0.130 	 0.001 
-0.120 	 0.001 
-0.110 	 0.001 
-0.100 	 0.001 
-0.090 	 0.000 
-0.080 	 0.000 
-0.070 	 0.000 
-0.060 	 0.000 
-0.050 	 0.000 
-0.040 	 0.000 
-0.030 	 0.000 
-0.020 	 0.000 
-0.010 	 0.000 
-0.000 	 0.000 
0.010 	 0.000 
0.020 	 0.000 
0.030 	 0.000 
0.040 	 0.000 
0.050 	 0.000 
0.060 	 0.000 
0.070 	 0.000 
0.080 	 0.000 
0.090 	 0.000 
0.100 	 0.000 
0.110 	 0.001 
0.120 	 0.001 
0.130 	 0.001 
0.140 	 0.001 
0.150 	 0.001 
0.160 	 0.001 
0.170 	 0.001 
0.180 	 0.002 
0.190 	 0.002 
0.200 	 0.002 
0.210 	 0.002 
0.220 	 0.002 
0.230 	 0.003 
0.240 	 0.003 
0.250 	 0.003 
0.260 	 0.003 
0.270 	 0.004 
0.280 	 0.004 
0.290 	 0.004 
0.300 	 0.004 
0.310 	 0.005 
0.320 	 0.005 
0.330 	 0.005 
0.340 	 0.006 
0.350 	 0.006 
0.360 	 0.006 
0.370 	 0.007 
0.380 	 0.007 
0.390 	 0.008 
0.400 	 0.008 
0.410 	 0.008 
0.420 	 0.009 
0.430 	 0.009 
0.440 	 0.010 
0.450 	 0.010 
0.460 	 0.011 
0.470 	 0.011 
0.480 	 0.012 
0.490 	 0.012 
0.500 	 0.012 
0.510 	 0.013 
0.520 	 0.014 
0.530 	 0.014 
0.540 	 0.015 
0.550 	 0.015 
0.560 	 0.016 
0.570 	 0.016 
0.580 	 0.017 
0.590 	 0.017 
0.600 	 0.018 
0.610 	 0.019 
0.620 	 0.019 
0.630 	 0.020 
0.640 	 0.020 
0.650 	 0.021 
0.660 	 0.022 
0.670 	 0.022 
0.680 	 0.023 
0.690 	 0.024 
0.700 	 0.024 
0.710 	 0.025 
0.720 	 0.026 
0.730 	 0.027 
0.740 	 0.027 
0.750 	 0.028 
0.760 	 0.029 
0.770 	 0.030 
0.780 	 0.030 
0.790 	 0.031 
0.800 	 0.032 
0.810 	 0.033 
0.820 	 0.034 
0.830 	 0.034 
0.840 	 0.035 
0.850 	 0.036 
0.860 	 0.037 
0.870 	 0.038 
0.880 	 0.039 
0.890 	 0.040 
0.900 	 0.040 
0.910 	 0.041 
0.920 	 0.042 
0.930 	 0.043 
0.940 	 0.044 
0.950 	 0.045 
0.960 	 0.046 
0.970 	 0.047 
0.980 	 0.048 
0.990 	 0.049 
1.000 	 0.050 
1.010 	 0.051 
1.020 	 0.052 
1.030 	 0.053 
1.040 	 0.054 
1.050 	 0.055 
1.060 	 0.056 
1.070 	 0.057 
1.080 	 0.058 
1.090 	 0.059 
1.100 	 0.060 
1.110 	 0.062 
1.120 	 0.063 
1.130 	 0.064 
1.140 	 0.065 
1.150 	 0.066 
1.160 	 0.067 
1.170 	 0.068 
1.180 	 0.070 
1.190 	 0.071 
1.200 	 0.072 
1.210 	 0.073 
1.220 	 0.074 
1.230 	 0.076 
1.240 	 0.077 
1.250 	 0.078 
1.260 	 0.079 
1.270 	 0.081 
1.280 	 0.082 
1.290 	 0.083 
1.300 	 0.084 
1.310 	 0.086 
1.320 	 0.087 
1.330 	 0.088 
1.340 	 0.090 
1.350 	 0.091 
1.360 	 0.092 
1.370 	 0.094 
1.380 	 0.095 
1.390 	 0.097 
1.400 	 0.098 
1.410 	 0.099 
1.420 	 0.101 
1.430 	 0.102 
1.440 	 0.104 
1.450 	 0.105 
1.460 	 0.107 
1.470 	 0.108 
1.480 	 0.110 
1.490 	 0.111 
1.500 	 0.112 
1.510 	 0.114 
1.520 	 0.116 
1.530 	 0.117 
1.540 	 0.119 
1.550 	 0.120 
1.560 	 0.122 
1.570 	 0.123 
1.580 	 0.125 
1.590 	 0.126 
1.600 	 0.128 
1.610 	 0.130 
1.620 	 0.131 
1.630 	 0.133 
1.640 	 0.134 
1.650 	 0.136 
1.660 	 0.138 
1.670 	 0.139 
1.680 	 0.141 
1.690 	 0.143 
1.700 	 0.144 
1.710 	 0.146 
1.720 	 0.148 
1.730 	 0.150 
1.740 	 0.151 
1.750 	 0.153 
1.760 	 0.155 
